player_id,progressive_passes,total_passes,progressive_pass_pct,final_third_entries,defensive_actions,defensive_actions_per90,total_onball_events,inaccurate_events,dangerous_losses,inaccurate_rate,dangerous_loss_rate
94828,49,317,0.1545741324921135,30,44.0,3.956043956043956,667,218,1,0.3268365817091454,0.0014992503748125
217031,327,1357,0.240972733971997,150,200.0,7.547169811320755,2220,450,4,0.2027027027027027,0.0018018018018018
359847,112,653,0.1715160796324655,48,130.0,4.791154791154791,1598,505,3,0.3160200250312891,0.0018773466833541
224080,170,436,0.3899082568807339,25,154.0,9.076620825147348,866,236,0,0.2725173210161662,0.0
225022,186,704,0.2642045454545454,67,212.0,8.878548161935784,1608,455,1,0.2829601990049751,0.0006218905472636
25445,18,218,0.0825688073394495,7,32.0,2.569134701159679,562,176,0,0.3131672597864768,0.0
3466,202,590,0.3423728813559322,37,178.0,7.3452544704264096,1175,320,5,0.2723404255319149,0.0042553191489361
247222,126,471,0.267515923566879,63,45.0,3.994082840236686,867,216,2,0.2491349480968858,0.0023068050749711
5542,416,1549,0.2685603615235636,226,259.0,8.378864126527677,2283,495,3,0.216819973718791,0.0013140604467805
247207,218,1131,0.1927497789566755,124,125.0,4.681647940074907,2002,461,1,0.2302697302697302,0.0004995004995004
4094,285,1134,0.2513227513227513,128,182.0,7.289719626168225,2200,572,4,0.26,0.0018181818181818
70507,295,869,0.3394706559263521,113,230.0,9.34959349593496,1436,365,2,0.2541782729805014,0.0013927576601671
3286,748,2153,0.3474222015791918,383,197.0,5.888409166389904,3426,664,11,0.1938120256859311,0.0032107413893753
41363,487,1270,0.3834645669291338,80,212.0,7.276887871853547,1934,365,7,0.1887280248190279,0.0036194415718717
20922,246,359,0.6852367688022284,19,28.0,0.8484848484848485,998,126,2,0.12625250501002,0.002004008016032
279555,36,312,0.1153846153846153,12,41.0,3.2625994694960214,839,266,1,0.3170441001191895,0.00119189511323
326535,97,341,0.2844574780058651,30,57.0,6.477272727272727,639,163,0,0.2550860719874804,0.0
397303,14,107,0.1308411214953271,6,11.0,3.3,224,72,0,0.3214285714285714,0.0
134502,621,1702,0.3648648648648648,183,179.0,6.400476758045293,2361,365,3,0.1545955103769589,0.0012706480304955
261127,89,484,0.1838842975206611,38,46.0,2.621912602913236,1383,357,1,0.2581344902386117,0.0007230657989877
3680,258,1123,0.2297417631344612,141,159.0,6.365658362989324,1835,376,4,0.2049046321525885,0.0021798365122615
3678,229,987,0.232016210739615,102,66.0,3.0665978316985028,1512,292,3,0.1931216931216931,0.0019841269841269
278289,218,1431,0.1523410202655485,90,163.0,5.027416038382453,2669,530,4,0.1985762457849381,0.0014986886474334
3420,136,854,0.1592505854800937,60,95.0,3.76817981489643,1704,449,7,0.2634976525821596,0.0041079812206572
247141,80,712,0.1123595505617977,29,76.0,2.402528977871444,1789,542,3,0.3029625489100055,0.0016769144773616
3464,221,766,0.2885117493472585,70,174.0,7.748639287481445,1468,414,1,0.2820163487738419,0.0006811989100817
20433,249,756,0.3293650793650793,65,128.0,7.332908975175048,1170,233,0,0.1991452991452991,0.0
134503,606,1639,0.3697376449054301,117,258.0,7.737420859713429,2529,466,2,0.1842625543693159,0.0007908264136022
4015,194,1031,0.1881668283220174,67,129.0,4.825436408977556,2042,548,1,0.2683643486777669,0.0004897159647404
225089,162,901,0.1798002219755826,84,117.0,3.418831168831169,2105,688,2,0.3268408551068884,0.0009501187648456
3920,167,603,0.2769485903814262,62,100.0,5.635566687539137,1218,313,5,0.2569786535303777,0.0041050903119868
4332,229,875,0.2617142857142857,94,145.0,6.937799043062202,1446,340,5,0.2351313969571231,0.0034578146611341
25472,28,262,0.1068702290076335,19,44.0,3.120567375886525,777,262,0,0.3371943371943371,0.0
264778,6,34,0.1764705882352941,2,9.0,10.0,56,12,0,0.2142857142857142,0.0
338201,20,162,0.1234567901234567,9,33.0,2.345971563981043,721,248,0,0.3439667128987517,0.0
227894,236,684,0.3450292397660818,60,138.0,7.375296912114014,1191,266,1,0.2233417296389588,0.0008396305625524
395114,220,903,0.2436323366555924,89,116.0,6.529080675422139,1388,234,2,0.1685878962536023,0.0014409221902017
485383,35,206,0.1699029126213592,14,24.0,3.836589698046181,414,107,0,0.2584541062801932,0.0
3827,439,1776,0.2471846846846846,178,263.0,7.879494007989347,3109,754,2,0.242521711161145,0.0006432936635574
6365,195,596,0.3271812080536913,53,143.0,7.866748166259169,1122,285,0,0.2540106951871658,0.0
14723,616,1958,0.3146067415730337,310,95.0,3.7698412698412698,2738,322,5,0.1176040905770635,0.0018261504747991
288091,208,1160,0.1793103448275862,126,51.0,2.495921696574225,1788,297,4,0.1661073825503355,0.0022371364653243
3310,461,1704,0.2705399061032864,202,133.0,5.2871024734982335,2607,548,4,0.2102032988108937,0.0015343306482546
3322,119,727,0.1636863823933975,50,40.0,1.567261645624728,1522,368,0,0.2417871222076215,0.0
70125,116,604,0.1920529801324503,39,75.0,4.226675015654352,1284,365,2,0.2842679127725857,0.0015576323987538
15455,138,358,0.3854748603351955,37,68.0,9.120715350223549,521,108,1,0.2072936660268714,0.0019193857965451
225948,192,776,0.2474226804123711,94,111.0,5.7712305025996535,1501,420,0,0.2798134576948701,0.0
4343,13,91,0.1428571428571428,8,7.0,3.75,144,46,0,0.3194444444444444,0.0
4272,388,1236,0.313915857605178,93,238.0,8.216340621403914,2107,410,7,0.1945894636924537,0.0033222591362126
4366,46,228,0.2017543859649122,22,20.0,5.128205128205129,327,48,1,0.146788990825688,0.0030581039755351
443324,31,129,0.2403100775193798,21,16.0,4.848484848484849,287,75,0,0.2613240418118467,0.0
4780,133,504,0.2638888888888889,64,78.0,7.8,888,216,2,0.2432432432432432,0.0022522522522522
5677,80,328,0.2439024390243902,17,129.0,7.5536759921925825,737,238,0,0.3229308005427408,0.0
167118,32,108,0.2962962962962963,12,10.0,4.0,147,38,0,0.2585034013605442,0.0
3306,806,1777,0.4535734383792909,206,173.0,6.781358885017421,2528,338,3,0.1337025316455696,0.0011867088607594
4113,65,161,0.4037267080745341,12,39.0,9.335106382978722,250,63,1,0.252,0.004
230897,88,531,0.1657250470809793,29,77.0,5.202702702702703,1175,282,3,0.24,0.0025531914893617
278320,155,229,0.6768558951965066,7,26.0,1.849802371541502,500,71,0,0.142,0.0
6165,20,265,0.0754716981132075,7,33.0,1.8220858895705525,1027,387,1,0.37682570593963,0.0009737098344693
86623,17,70,0.2428571428571428,8,9.0,7.864077669902913,107,24,0,0.2242990654205607,0.0
5791,39,198,0.1969696969696969,12,25.0,3.725165562913907,440,138,3,0.3136363636363636,0.0068181818181818
341751,81,447,0.1812080536912751,20,85.0,6.9419237749546285,910,276,1,0.3032967032967033,0.001098901098901
20401,244,958,0.2546972860125261,123,90.0,6.240369799691833,1320,260,3,0.1969696969696969,0.0022727272727272
4375,102,624,0.1634615384615384,49,67.0,4.610091743119266,1224,262,4,0.2140522875816993,0.0032679738562091
4511,185,688,0.2688953488372093,94,133.0,8.562231759656653,1205,315,2,0.2614107883817427,0.0016597510373443
3785,106,158,0.6708860759493671,2,19.0,1.9,316,42,0,0.1329113924050632,0.0
3735,93,329,0.2826747720364742,33,64.0,7.346938775510205,625,157,0,0.2512,0.0
373713,20,125,0.16,11,21.0,7.842323651452283,205,42,0,0.2048780487804878,0.0
4180,145,414,0.3502415458937198,46,80.0,7.236180904522613,673,142,0,0.2109955423476968,0.0
3970,364,1049,0.3469971401334604,121,193.0,8.772727272727273,1737,367,1,0.2112838226827864,0.0005757052389176
6684,21,90,0.2333333333333333,7,3.0,1.267605633802817,190,72,0,0.3789473684210526,0.0
3398,107,144,0.7430555555555556,36,28.0,2.5454545454545454,408,61,0,0.1495098039215686,0.0
70121,16,91,0.1758241758241758,8,14.0,5.8604651162790695,171,52,0,0.3040935672514619,0.0
6914,7,128,0.0546875,6,20.0,2.848101265822785,470,155,0,0.3297872340425531,0.0
265864,55,243,0.2263374485596707,22,61.0,10.036563071297987,450,101,0,0.2244444444444444,0.0
14903,348,1404,0.2478632478632478,157,208.0,6.223404255319148,2490,541,3,0.2172690763052208,0.0012048192771084
20927,325,1334,0.2436281859070465,114,230.0,6.988521269412559,2651,649,4,0.2448132780082987,0.0015088645794039
